Kecamatan,Kabupaten,Nama objek,Nomor Lokasi Keterdapatan,Komoditi,Kode Unsur,Kelompok Mineral Logam,Lokasi Keterdapatan,Provinsi,Status Penyelidikan Mineral Logam,Bijih Terbukti (Ton),Logam Terbukti (Ton),keteragan,acuan,objectid,longitude,latitude,Jenis Izin,Lokasi Tambang,Luas Wilayah,Tanggal Berakhir SK,Tanggal Berlaku SK,Mine_port(meter),Mine_road(meter),Mine_Smelter(meter)
Pomalaa,Kolaka,Nikel WSPM 017,1.950.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,WSPM 017,Sulawesi Tenggara,Operasi Produksi,0,0,"Limonit dan saprolit, kadar Ni 1,27% s.d. 1.72%","PT Antam, Laporan RKAB Tahun 2022",1482,121.536,-4.263,IUP,Kec. Pomalaa,584.3,"Maret 14, 2034","Mei 18, 2020",11981.177,2926.315,3483.409
Pomalaa,Kolaka,Nikel WSPM 016,1.951.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,WSPM 016,Sulawesi Tenggara,Operasi Produksi,1930000,24792.6,"Limonit dan saprolit, kadar Ni 1,36% s.d. 1,83%","PT Antam, Laporan RKAB Tahun 2022",1483,121.63,-4.204,IUP,Kec. Pomalaa,2712,"Maret 14, 2034","Mei 18, 2020",4783.091,1857.652,3777.922
Pomalaa,Kolaka,Nikel WSPM 015,1.952.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,WSPM 015,Sulawesi Tenggara,Operasi Produksi,2840000,38337.6,"Limonit dan saprolit, kadar Ni 1,38% s.d. 2%","PT Antam, Laporan RKAB Tahun 2022",1484,121.553,-4.278,IUP,Kec. Pomalaa,878.2,"Juni 25, 2030","Mei 18, 2020",12495.622,185.727,1603.080
Kabaena Selatan,Bombana,"Nikel Salgado, Purano, Bangko",311.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,"Salgado, Purano, Bangko",Sulawesi Tenggara,Operasi Produksi,5252000,61136.6,"Kadar Ni 1,1% - 2,2%","PT Anugrah Harisma Barakah, Laporan RKAB Tahun 2022",1322,121.934,-5.413,IUP,Kec. Talaga Kab. Buton dan Kec Kabaena Selatan,2527,"Juli 25, 2030","Juli 26, 2010",16534.744,625.993,57702.590
Molawe,Konawe Utara,Nikel Tapunggaya 2,2.555.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tapunggaya 2,Sulawesi Tenggara,Operasi Produksi,300000,4800,"4 blok, Blok A mempunyai cadangan, kadar rata-rata 1,6%","PT Apollo Nickel Indonesia, Laporan RKAB Tahun 2020",1577,122.3632,-3.3867,IUP,Kec. Lasolo,106,"Oktober 21, 2031","Oktober 31, 2011",67719.830,2244.524,38745.133
Talagaraya,Buton Tengah,Nikel Talaga Besar,1.419.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Talaga Besar,Sulawesi Tenggara,Operasi Produksi,2230000,27629.7,"Kadar Ni 1,2% - 1,77%","PT Arga Morini Indah, Laporan RKAB 2020 (Tabulasi Dinas ESDM Provinsi)",1428,122.033,-5.414,IUP,Kec. Talaga Raya,2834.96,"Juli 11, 2027","Juli 12, 2007",10615.775,463.790,57734.869
Talaga Raya,Buton,Nikel Wulu,2.790.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Wulu,Sulawesi Tenggara,Operasi Produksi,2230000,27629.7,"Blok I - IV, Ni 1,2% s.d. 1,77%","PT Arga Morini Indah, Laporan RKAB Tahun 2020",1608,122.0012,-5.436,IUP,Kec. Talaga Raya,2834.96,"Juli 11, 2027","Juli 12, 2007",13982.161,514.783,59963.999
Molawe,Konawe Utara,Nikel Tapunggaya 4 (Blok Utara),2.557.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tapunggaya 4 (Blok Utara),Sulawesi Tenggara,Operasi Produksi,420000,4821.6,"Kadar Ni 1,1% s.d. 2,6%","PT Bhumi Karya Utama, Laporan RKAB Tahun 2022",1579,122.2748,-3.3543,IUP,"Kec. Langgikima, Konawe Utara",310,"Desember 12, 2032","Juni 5, 2017",61668.289,433.844,33733.667
Molawe,Konawe Utara,Nikel Tapunggaya 4 (Blok Selatan),2.795.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tapunggaya 4 (Blok Selatan),Sulawesi Tenggara,Operasi Produksi,560000,6546.4,"Kadar Ni 1,1% s.d. 2,6%","PT Bhumi Karya Utama, Laporan RKAB Tahun 2022",1613,122.2657,-3.3728,IUP,"Kec. Langgikima, Konawe Utara",310,"Desember 12, 2032","Juni 5, 2017",63487.908,641.334,35820.277
Molawe,Konawe Utara,Nikel Binanga,2.788.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Binanga,Sulawesi Tenggara,Operasi Produksi,197925,2.528.491.875,"Kadar Ni 1,7% - 1,95%","PT Binanga Hartama Raya, Laporan RKAB Tahun 2020",1606,122.3089,-3.3755,IUP,Kec. Lasolo,185,"Juni 23, 2031","Juni 23, 2011",64799.689,590.464,36364.714
Pomalaa,Kolaka,Nikel Tambea,2.531.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tambea,Sulawesi Tenggara,Operasi Produksi,500000,5775,"Blok A, B, C dan D, kadar Ni 1,6% - 1,65%","PT Bola Dunia Mandiri, Laporan RKAB Tahun 2020",1553,121.6219,-4.2548,IUP,"Kec. Pomalaa, Kab. Kolaka",260,"Agustus 26, 2027","Agustus 26, 2017",9244.335,182.185,6476.735
Molawe,Konawe Utara,Nikel Morombo (Bososi),1.161.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Morombo (Bososi),Sulawesi Tenggara,Operasi Produksi,374000,3896.06,"Kadar Ni > 1,5% (sumber daya) dan > 1,7% (cadangan)","PT Bososi Pratama, Laporan RKAB Tahun 2022",1369,122.201,-3.378,IUP,"Kec. Langgikima, Kab. Konawe Utara",1850,"Juni 6, 2031","Juni 6, 2011",63191.318,3055.373,37204.257
Langgikima,Konawe Utara,Nikel Wawoheo,2.144.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Wawoheo,Sulawesi Tenggara,Operasi Produksi,0,0,"Pit Mawar, Pit Melati dan Pit Matahari, kadar Ni 1,6% s.d. 2%","PT Bosowa Mining, Laporan RKAB Tahun 2022",1493,122.234,-3.195,IUP,"Kec. Wiwirano, Kab. Konawe Utara",1500,"Maret 28, 2031","Januari 28, 2011",43513.992,56.367,16659.753
Kab. Buton,Buton,Nikel Wakalambe,1.420.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Wakalambe,Sulawesi Tenggara,Operasi Produksi,0,0,"Kadar Ni 1,12%","PT Bumi Buton Delta Megah, 2013",1429,122.792,-5.264,IUP,Kec. Kapontori,675,"September 4, 2029","September 4, 2009",22585.652,276.792,98177.205
Motui,Konawe Utara,Nikel Matandahi,1.397.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Matandahi,Sulawesi Tenggara,Operasi Produksi,1430000,16016,"Blok I, Blok II dan Blok III, kadar Ni 1,,49% s.d. 1,61%","PT Bumi Konawe Abadi, Laporan RKAB Tahun 2020",1411,122.4413,-3.8204,IUP,Kec. Sawa Kab. Konawe Utara,419.6,"Desember 22, 2027","Desember 22, 2009",22645.856,523.672,9541.335
Asera,Konawe Utara,Nikel Walalindu,1.395.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Walalindu,Sulawesi Tenggara,Operasi Produksi,0,0,"Kadar Ni 1,65%","PT Bumi Konawe Minerina, 2015",1410,122.104,-3.483,IUP,Kec. Molawe,616,"Desember 22, 2027","Juni 12, 2017",74977.258,593.661,51449.157
Molawe,Konawe Utara,Nikel Walalindu 1,1.930.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Walalindu 1,Sulawesi Tenggara,Operasi Produksi,3161107,40.142.444.930,"5 blok, saprolit Ni 1,93% , limonit Ni 1,5%","PT Bumi Konawe Minerina, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1462,122.2274,-3.5594,IUP,Kec. Molawe,616,"Desember 22, 2027","Juni 12, 2017",60011.478,42.963,43612.310
Wawonii Tenggara,Konawe Kepulauan,Nikel Mosolo,2.523.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Mosolo,Sulawesi Tenggara,Eksplorasi,0,0,Blok Utara,"PT Bumi Konawe Mining, Assesment Report 2018",1545,123.153,-4.193,IUP,"Kec. Wawonii timur dan Wawonii Tenggara, Kab. Konawe",3175,"Desember 30, 2028","Agustus 2, 2010",,,
Wawonii Tenggara,Konawe Kepulauan,Nikel Nambo Jaya,2.524.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Nambo Jaya,Sulawesi Tenggara,Eksplorasi,0,0,Blok Selatan,"PT Bumi Konawe Mining, Assesment Report 2018",1546,123.138,-4.23,IUP,"Kec. Wawonii timur dan Wawonii Tenggara, Kab. Konawe",3175,"Desember 30, 2028","Agustus 2, 2010",,,
Andowia,Konawe Utara,Nikel Lahimbua,2.553.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lahimbua,Sulawesi Tenggara,Operasi Produksi,1438951,181.307.826,-,"PT Bumi Nikel Nusantara, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1575,122.158,-3.522,IUP,"Molawe, Konawe Utara",386.49,"Maret 10, 2032","Oktober 16, 2018",68241.817,445.742,51200.660
Wolo,Kolaka,Nikel Samaenre,2.148.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Samaenre,Sulawesi Tenggara,Operasi Produksi,0,0,Pit Tenggara 1-4,"PT Ceria Nugraha Indotama, Laporan RKAB Tahun 2019 (Adendum)",1497,121.319,-3.878,IUP,"Kel Wolo, Uluwolo, Ponrewaru",6785,"April 23, 2032","April 23, 2012",34840.340,864.941,3574.904
Wolo,Kolaka,Nikel Pit Pao pao,301.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Pit Pao pao,Sulawesi Tenggara,Operasi Produksi,0,0,"wmt, CoG 1,3% Ni","PT Ceria Nugraha Indotama, Laporan RKAB Tahun 2020 (Tabulasi Dinas ESDM Provinsi)",1314,121.289,-3.852,IUP,"Kel Wolo, Uluwolo, Ponrewaru",6785,"April 23, 2032","April 23, 2012",39216.248,60.637,1013.294
Wolo,Kolaka,Nikel Wolo,2.149.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Wolo,Sulawesi Tenggara,Operasi Produksi,0,0,"Pit Utara 1, Pit Utara 2","PT Ceria Nugraha Indotama, Laporan RKAB Tahun 2020 (Tabulasi Dinas ESDM Provinsi)",1498,121.269,-3.843,IUP,"Kel Wolo, Uluwolo, Ponrewaru",6785,"April 23, 2032","April 23, 2012",41609.079,121.664,3423.913
Wolo,Kolaka,Nikel Ruby,2.150.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Ruby,Sulawesi Tenggara,Operasi Produksi,0,0,"CoG 1,4%","PT Ceria Nugraha Indotama, Laporan RKAB Tahun 2020 (Tabulasi Dinas ESDM Provinsi)",1499,121.286,-3.872,IUP,"Kel Wolo, Uluwolo, Ponrewaru",6785,"April 23, 2032","April 23, 2012",38272.156,2165.170,2441.591
Wolo,Kolaka,Nikel Jessica,2.151.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Jessica,Sulawesi Tenggara,Operasi Produksi,0,0,"CoG 1,5%","PT Ceria Nugraha Indotama, Laporan RKAB Tahun 2020 (Tabulasi Dinas ESDM Provinsi)",1500,121.287,-3.864,IUP,"Kel Wolo, Uluwolo, Ponrewaru",6785,"April 23, 2032","April 23, 2012",38655.612,1358.340,1685.468
Wolo,Kolaka,Nikel Emerald,2.528.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Emerald,Sulawesi Tenggara,Operasi Produksi,0,0,"CoG 1,3% Ni, kadar Ni 1,7%","PT Ceria Nugraha Indotama, Laporan RKAB Tahun 2020 (Tabulasi Dinas ESDM Provinsi)",1550,121.24,-3.868,IUP,"Kel Wolo, Uluwolo, Ponrewaru",6785,"April 23, 2032","April 23, 2012",42901.677,1198.794,6638.520
Wolo,Kolaka,Nikel Saphire,2.529.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Saphire,Sulawesi Tenggara,Operasi Produksi,0,0,"CoG 1,2% Ni, kadar Ni 1,57%","PT Ceria Nugraha Indotama, Laporan RKAB Tahun 2020 (Tabulasi Dinas ESDM Provinsi)",1551,121.28,-3.876,IUP,"Kel Wolo, Uluwolo, Ponrewaru",6785,"April 23, 2032","April 23, 2012",38609.418,1887.497,3191.742
Molawe,Konawe Utara,Nikel Mandiodo 1,1.398.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Mandiodo 1,Sulawesi Tenggara,Operasi Produksi,405879.92,3.977.623.216,"Kadar Ni 1,4%","PT Cinta Jaya, Laporan RKAB Tahun 2022",1412,122.2168,-3.5615,IUP,Kec. Molawe,309,"Desember 22, 2027","Maret 29, 2017",60610.215,1.374,43998.730
Molawe,Konawe Utara,Nikel Tapungjaya 1,2.164.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tapungjaya 1,Sulawesi Tenggara,Operasi Produksi,1333976.72,13.072.971.856,-,"PT Cinta Jaya, Laporan RKAB Tahun 2022",1513,122.1969,-3.5632,IUP,Kec. Molawe,309,"Desember 22, 2027","Maret 29, 2017",61962.057,63.471,45009.319
Langgikima,Konawe Utara,Nikel Wiwirano,2.547.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Wiwirano,Sulawesi Tenggara,Operasi Produksi,0,0,-,"PT Cipta Djaya Selaras Mining, Laporan Studi Kelayakan Tahun 2013",1569,122.237,-3.167,IUP,"Desa Wiwirano, Kec. Wiwirano",634.8,"Juni 23, 2030","Juni 23, 2010",40535.271,1419.034,13582.788
Langgikima,Konawe Utara,Nikel Molore,2.546.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Molore,Sulawesi Tenggara,Operasi Produksi,1292158,144.721.696,"Kadar Ni 1,3% dan 1,8%","PT Cipta Djaya Surya, Laporan RKAB Tahun 2022",1568,122.288,-3.336,IUP,"Desa Molore, Kec. Langgikima",195.7,"Juni 7, 2030","Juni 7, 2010",60004.395,176.663,31805.716
Langgikima,Konawe Utara,Nikel Blok Paka Indah,1.932.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok Paka Indah,Sulawesi Tenggara,Operasi Produksi,0,0,-,"PT Cipta Djaya Surya, Laporan Studi Kelayakan Tahun 2013",1464,122.165,-3.362,IUP,"Desa Molore, Kec. Langgikima",195.7,"Juni 7, 2030","Juni 7, 2010",61293.118,1925.448,36557.269
Lasusua,Kolaka Utara,Nikel Pitulua,1.599.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Pitulua,Sulawesi Tenggara,Operasi Produksi,0,0,-,"PT Citra Silika Mallawa, 2013",1450,120.965,-3.617,IUP,Kec. Lasusua,475,"Maret 14, 2026","Maret 14, 2011",24061.944,908.633,45301.967
Molawe,Konawe Utara,Nikel Pasir Panjang Boedingle,2.559.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Pasir Panjang Boedingle,Sulawesi Tenggara,Operasi Produksi,1515311,20.683.995.150,"Kadar Ni 1,64% s.d.1,95%","PT Daka Group, Laporan RKAB Tahun 2020",1581,122.3821,-3.455,IUP,"Kec. Lasolo, Konawe Utara",200,"Mei 21, 2031","Mei 21, 2012",61157.722,306.198,46584.187
Tanggetada,Kolaka,Nikel Tambea,1.927.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tambea,Sulawesi Tenggara,Operasi Produksi,0,0,-,"PT Dharma Bumi Kendari, 2015",1459,121.678,-4.303,IUP,"Kec. Tanggetada/Lambandia, Kab. Kolaka",1000,"Desember 31, 2027","April 12, 2010",16723.923,241.967,12889.288
Tanggetada,Kolaka,Nikel Lamendai,1.392.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lamendai,Sulawesi Tenggara,Operasi Produksi,0,0,-,"PT Dharma Bumi Kolaka, 2015",1408,121.695,-4.312,IUP,"Kec. Tanggetada/Lambandia, Kab. Kolaka",1075,"April 12, 2030","April 12, 2010",18597.252,563.849,14980.435
Lasolo,Konawe Utara,Nikel Blok DTGP-1 (A),2.941.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok DTGP-1 (A),Sulawesi Tenggara,Operasi Produksi,1512500,18.104.625,"Kadar Ni 0,8% - 1,76%, Kadar Fe 19,78% - 38,45%","PT Duta Tambang Gunung Perkasa, Laporan RKAB Tahun 2022",1661,122.2637,-3.3884,IUP,"Kec. Lasolo, Kab. Konawe Utara",138.2,"Oktober 21, 2031","Oktober 21, 2011",65148.518,182.154,37548.988
Lasolo,Konawe Utara,Nikel Lasolo (DMS),1.187.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lasolo (DMS),Sulawesi Tenggara,Operasi Produksi,3598278,453.383.028,"Blok A, B, C, D dan E, kadar Ni 1,65% - 1,8%","PT Dwimitra Multiguna Sejahtera, Laporan RKAB Tahun 2020",1376,122.258,-3.672,IUP,Kec. Lasolo,130,"Juli 14, 2030","Juli 14, 2010",48657.105,385.358,31238.897
Molawe,Konawe Utara,Nikel Morombo 1,1.945.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Morombo 1,Sulawesi Tenggara,Operasi Produksi,1816089,22.540.480.410,"Blok Yudistira dan Blok Olivin, kadar Ni 1,55% s.d. 1,80%","PT Elit Kharisma Utama, Laporan RKAB Tahun 2020",1477,122.235,-3.379,IUP,"Kec. Langgikima dan Lasolo, Konawe Utara",496.1,"Agustus 19, 2030","Agustus 19, 2010",63654.416,262.040,36715.552
Lasusua,Kolaka Utara,Nikel Blok PT FBS,2.942.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok PT FBS,Sulawesi Tenggara,Operasi Produksi,0,0,"Kadar Ni 2,05% - 2,33%, Kadar Fe 20,99% - 22,84%","PT Fatwa Bumi Sejahtera, Laporan RKAB Tahun 2022",1662,120.9152,-3.563,IUP,"Desa Pitulua, Kecamatan Lasusua",101,"Januari 26, 2017","Januari 27, 2012",16779.411,1314.046,53293.769
Wawonii Tengah,Konawe Kepulauan,Nikel Latambaga,2.525.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Latambaga,Sulawesi Tenggara,Eksplorasi,0,0,Blok Utara,"PT Gema Kreasi Perdana, Assesment Report 2018",1547,123.021,-4.086,IUP,"Kec. Wawonii Barat dan tengah, Kab. Konawe",958,"November 14, 2028","Januari 10, 2010",,,
Wawonii Tenggara,Konawe Kepulauan,Nikel Roko roko,1.254.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Roko roko,Sulawesi Tenggara,Operasi Produksi,2500000,21630,"Blok Arwana, Blok Elang, dan Blok Anoa","PT Gema Kreasi Perdana, Laporan RKAB Tahun 2022",1384,123.117,-4.217,IUP,"Kecamatan Wawonii Tenggara, Kabupaten Konawe Kepulauan, Provinsi Sulawesi Tenggara",850.9,"November 14, 2028","November 14, 2008",25951.204,3171.198,58233.737
Palangga Selatan,Konawe Selatan,Nikel Watumbohuti 1,1.415.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Watumbohuti 1,Sulawesi Tenggara,Operasi Produksi,995069,118.413.211,"Kadar Ni 1,7%","PT Generasi Agung Perkasa, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1424,122.407,-4.409,IUP,Parasi dan sekitarnya Palangga Selatan,584,"November 12, 2028","November 12, 2018",6935.458,566.137,7613.095
Laeya,Konawe Selatan,Nikel Sangi sangi,1.417.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Sangi sangi,Sulawesi Tenggara,Eksplorasi,1617508,16.983.834,"Blok Selatan, Blok Tengah, Blok Utara","PT Gerbang Multi Sejahtera, Laporan RKAB Tahun 2020",1426,122.459,-4.424,IUP,Desa Wia-Wia Kec. Laonti,2301.62,"Juli 30, 2038","Juli 30, 2018",,,
Tinanggea,Konawe Selatan,Nikel Blok Selatan Ngapaaha,2.179.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok Selatan Ngapaaha,Sulawesi Tenggara,Operasi Produksi,6954672,85.194.732,"Ironcap, limonit dan saprolit, kadar Ni > 0,6% (sumber daya) dan Ni > 1,1% (cadangan)","PT Ifishdeco, Laporan RKAB Tahun 2020",1529,122.1768,-4.396,IUP,Ngapaaha,800,"September 8, 2028","September 8, 2010",31584.754,461.116,2462.904
Tinanggea,Konawe Selatan,Nikel Blok Utara Ngapaaha,1.157.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok Utara Ngapaaha,Sulawesi Tenggara,Operasi Produksi,7499855,77.693.579.250,Iron Cap-Limonit-Saprolit,"PT Ifishdeco, Ringkasan Eksekutif Laporan JORC Cadangan Tahun 2018 dan laporan RKAB Tahun 2020",1367,122.179,-4.382,IUP,Ngapaaha,800,"September 8, 2028","September 8, 2010",31659.183,1331.176,3016.230
Langgikima,Konawe Utara,Nikel Lameruru,2.554.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lameruru,Sulawesi Tenggara,Operasi Produksi,1100000,10844,"Blok Bitti, Mangrove dan Ulin, kadar Ni 1,58% - 1,83%","PT Indra Bakti Mustika, Annual Report Tahun 2021",1576,122.29,-3.2491,IUP,"Kec. Langgikima, Kab. Konawe Utara",576,"Januari 17, 2034","Maret 17, 2014",50757.460,68.356,22242.415
Laeya,Konawe Selatan,Nikel Wonua Kongga,2.152.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Wonua Kongga,Sulawesi Tenggara,Operasi Produksi,4169195,62626.19,"Blok 1 dan Blok 2, kadar Ni 1,5% s.d. 2%","PT Integra Mining Nusantara, Laporan RKAB Tahun 2022",1501,122.491,-4.435,IUP,"Desa Wonua Kongga, Kec. Laeya",100,"Januari 11, 2029","Januari 11, 2010",4012.861,36.222,15091.240
Palangga Selatan,Konawe Selatan,Nikel Wotumbohuti,1.414.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Wotumbohuti,Sulawesi Tenggara,Operasi Produksi,1087741,13.248.685.380,"Kadar Ni > 1,24% dan > 1,74%","PT Jagad Rayatama, Laporan RKAB Tahun 2020",1423,122.3912,-4.3925,IUP,"Desa Watumbohoti, Palngga Selatan, Konawe Selatan, Sulawesi Tenggara",1670,"Januari 27, 2027","Januari 27, 2017",9443.261,5.039,7974.312
Molawe,Konawe Utara,Nikel Wawalalindu,2.560.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Mandiodo 2,Sulawesi Tenggara,Operasi Produksi,4576650,579.861.555,"Kadar Ni 1,2% s.d. 1,81%","PT Kabaena Kromit Prathama, Laporan RKAB Tahun 2020",1582,122.1944,-3.577,IUP,"Kec. Molawe, Kab. Konawe Utara",102.6,"Desember 14, 2030","Desember 14, 2010",61052.763,62.809,51449.155
Langgikima,Konawe Utara,Nikel Lamonae 2,1.409.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lamonae 2,Sulawesi Tenggara,Operasi Produksi,55811300,691879.65,"Blok K1, Blok K2 dan Blok E, kadar Ni 1,5% dan 1,8%","PT Karyatama Konawe Utara, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1419,122.2549,-3.2295,IUP,"Kec. Asera, Konawe Utara",3119,"Desember 13, 2029","Agustus 1, 2017",47707.193,834.209,20046.419
Langgikimia,Konawe Utara,Nikel Tambakua,289.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tambakua,Sulawesi Tenggara,Operasi Produksi,6340000,77076.3,"Kadar Ni 0,98% - 2,1%","PT Karyatama Konawe Utara, Laporan RKAB Tahun 2022 (tabulasi Ditjen Minerba)",1305,122.155,-3.304,IUP,"Kec. Asera, Konawe Utara",3119,"Desember 13, 2029","Agustus 1, 2017",54890.174,8.781,30996.868
Batu Putih,Kolaka Utara,Nikel Latou,357.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Latou,Sulawesi Tenggara,Operasi Produksi,728100,9.428.895,"Kadar Ni 1,3% - 1,9%","PT Kasmar Tiar Raya, Laporan RKAB Tahun 2020",1347,121.102,-3.074,IUP,Kec. Batu Putih,955,"Juni 21, 2031","Juni 21, 2021",37227.490,65.135,63602.566
Langgikima,Konawe Utara,Nikel Lameruru 1,2.796.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lameruru 1,Sulawesi Tenggara,Operasi Produksi,0,0,Tidak ada data kadar Ni,"PT Kelompok Delapan Indonesia, Laporan RKAB Tahun 2020",1614,122.3033,-3.2574,IUP,"Kecamatan Langgikima, Konawe Utara",226.51,"September 16, 2030","Mei 4, 2020",52058.882,94.199,23340.180
Langgikima,Konawe Utara,Nikel Lamonae 1,1.394.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lamonae 1,Sulawesi Tenggara,Operasi Produksi,0,0,"Kadar Ni 1,4%","PT Kembar Emas Sultra, 2013",1409,122.241,-3.28,IUP,Kecamatan Langgikima Kabupaten Konawe Utara,103,"Juli 12, 2031","Juli 12, 2011",52909.971,24.262,25765.420
Langgikima,Konawe Utara,Nikel Lameruru 2,1.931.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lameruru 2,Sulawesi Tenggara,Operasi Produksi,0,0,-,"PT Kembar Emas Sultra, 2013",1463,122.245,-3.277,IUP,Kec. Langgikima Kabupaten Konawe Utara,467,"Juli 13, 2031","Juli 13, 2011",52656.109,385.335,25382.759
Tolala,Kolaka Utara,Nikel Blok A Tolala,297.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok A Tolala,Sulawesi Tenggara,Operasi Produksi,0,0,"Kadar Ni 0,8% - 2,1%","PT Kolaka Mineral Resources, 2015",1310,121.083,-2.833,IUP,"Desa Lawaki Jayaatikala, Tolala",2100,"Juli 16, 2029","Juli 17, 2009",10527.254,56.184,43832.750
Molawe,Konawe Utara,Nikel Tobimieta,2.162.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tobimieta,Sulawesi Tenggara,Operasi Produksi,0,0,"Blok A Saprolit, Blok B Limonit, SOA Saprolit","PT Konawe Nikel Nusantara, Laporan RKAB Tahun 2022",1511,122.25,-3.378,IUP,"Kec. lasolo, Konawe Utara",373.8,"Agustus 19, 2030","Agustus 19, 2010",63771.193,273.063,36463.099
Langgikima,Konawe Utara,Nikel Lamonae,1.408.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lamonae,Sulawesi Tenggara,Operasi Produksi,0,0,-,"PT Konutara Prima, 2013",1418,122.205,-3.213,IUP,Kec. Langgikima & Wiwirano,2827,"Maret 11, 2031","Maret 11, 2011",45040.357,1219.845,19556.040
Lasolo,Konawe Utara,Nikel Sari Mukti,1.400.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Sari Mukti,Sulawesi Tenggara,Operasi Produksi,1730980,21.810.348,"D Saprolite (Pit 6, 7, 8, 9, 10, dan 11)","PT Konutara Sejati, Laporan RKAB Tahun 2020 (tabulasi Ditjen Minerba)",1414,122.2263,-3.3485,IUP,"Kec. Langgikima, Konawe Utara",1923,"Desember 22, 2029","Juni 9, 2017",60191.054,50.945,33492.992
Batu Putih,Kolaka Utara,Nikel Blok II Lelewawo,2.566.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok II Lelewawo,Sulawesi Tenggara,Operasi Produksi,350000,3675,"Kadar Ni 1,5%","PT Kurnia Mining Resources, Laporan RKAB Tahun 2020 (Tabulasi Dinas ESDM Provinsi)",1588,121.0566,-3.0244,IUP,Kec Batu Putih,210,"April 12, 2031","Juli 23, 2021",31556.969,256.520,61643.893
